Month,oTX,oNM,oLA,gTX,gNM,gLA,oPermian,oEagleFord,oHaynesville,oOther,gPermian,gEagleFord,gHaynesville,gOther
1/1/2024,5349,1866,84,33309,8962,10970,5896,1026,24,353,23770,7334,15923,6214
2/1/2024,5549,1969,87,34158,9467,11376,6133,1077,26,369,24656,7549,16328,6468
3/1/2024,5577,2012,86,34332,9603,10734,6197,1093,26,359,25144,7485,15742,6298
4/1/2024,5636,2000,87,34678,9495,10047,6200,1137,25,361,25175,7244,14836,6965
5/1/2024,5685,2000,84,35290,9519,9505,6213,1173,24,359,25077,7665,14358,7214
6/1/2024,5727,1992,85,35577,9642,9445,6256,1168,23,357,25872,7391,14322,7079
7/1/2024,5679,2025,85,35575,9941,9908,6266,1144,24,355,26256,7372,14494,7302
8/1/2024,5764,2099,83,35983,10135,9716,6386,1177,23,360,26776,7344,14508,7206
9/1/2024,5784,2079,75,35773,10210,9214,6373,1190,24,351,26851,7329,14220,6797
10/1/2024,5843,2123,81,36344,10441,9295,6469,1203,25,350,27398,7598,14055,7029
11/1/2024,5792,2129,80,36055,10456,9219,6470,1158,25,348,27252,7482,14328,6668
12/1/2024,5705,2117,80,36455,10697,9217,6399,1126,26,351,27566,7445,14188,7170
1/1/2025,5569,2031,70,36298,10371,9204,6224,1095,25,326,26797,7289,14294,7493
2/1/2025,5641,2114,77,36413,10660,9446,6314,1159,25,334,27282,7596,14467,7174
3/1/2025,5717,2194,78,36525,11270,11024,6455,1169,24,341,27849,7589,14757,8624
4/1/2025,5791,2154,80,36844,11095,10605,6473,1183,24,345,27978,7812,14864,7890
5/1/2025,5759,2174,77,36498,10943,10842,6468,1178,24,340,28648,8015,14745,6875
6/1/2025,5756,2179,78,37000,11183,10024,6475,1177,24,337,28727,8080,14587,6813
7/1/2025,5840,2235,75,37495,11536,10447,6597,1188,24,341,29493,8120,15081,6784
8/1/2025,5836,2243,73,37898,11607,10833,6602,1167,24,359,29769,8226,15444,6899
9/1/2025,5812,2282,73,37854,11906,10380,6642,1127,24,374,29878,8238,15255,6769
10/1/2025,5767,2321,70,37451,11736,10333,6686,1088,25,359,28808,8220,15488,7004
11/1/2025,5831,2298,69,38251,12026,11099,6720,1075,25,378,29768,8268,15851,7489
12/1/2025,5801,2233,67,38656,12076,11172,6651,1070,24,356,30032,8209,16187,7476
1/1/2026,5563,2118,66,37316,11664,10586,6267,1107,22,351,28636,8133,15527,7270
2/1/2026,5814,2303,66,38423,12223,11129,6662,1085,25,330,30039,8122,16284,7190
3/1/2026,5790,2302,66,38611,12017,11426,6608,1092,25,320,30049,8143,16538,6900
4/1/2026,5851,2357,66,38912,11989,11697,6646,1090,22,290,29831,8233,16033,6500
5/1/2026,5803,2399,68,38651,12131,11350,6364,939,19,210,29579,7159,13045,5900
6/1/2026,5728,2367,67,39157,12423,11807,,,,,,,,
