Region,Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,
Permian,newWellDC, 0.5634 , 1.0000 , 0.8528 , 0.7130 , 0.6067 , 0.5284 , 0.4690 , 0.4206 , 0.3858 , 0.3551 , 0.3284 , 0.3053 , 0.2858 , 0.2688 , 0.2542 , 0.2415 , 0.2288 , 0.2183 , 0.2083 , 0.1991 , 0.1929 , 0.1845 , 0.1772 , 0.1705 ,
EagleFord,newWellDC, 0.6293 , 1.0000 , 0.8234 , 0.6810 , 0.5759 , 0.4874 , 0.4244 , 0.3734 , 0.3274 , 0.2948 , 0.2673 , 0.2449 , 0.2247 , 0.2082 , 0.1939 , 0.1820 , 0.1710 , 0.1619 , 0.1507 , 0.1429 , 0.1376 , 0.1313 , 0.1258 , 0.1212 ,
Bakken,newWellDC, 0.4681 , 1.0000 , 0.9459 , 0.8907 , 0.7970 , 0.7103 , 0.6299 , 0.5595 , 0.5091 , 0.4542 , 0.4114 , 0.3763 , 0.3443 , 0.3195 , 0.2976 , 0.2738 , 0.2538 , 0.2378 , 0.2233 , 0.2073 , 0.1963 , 0.1873 , 0.1786 , 0.1714 ,
Haynesville,newWellDC, 0.6521 , 1.0000 , 0.9812 , 0.9248 , 0.8678 , 0.8098 , 0.7674 , 0.7171 , 0.6634 , 0.6151 , 0.5741 , 0.5371 , 0.4999 , 0.4670 , 0.4390 , 0.4112 , 0.3865 , 0.3621 , 0.3435 , 0.3277 , 0.2994 , 0.2844 , 0.2673 , 0.2537 ,
Appalachia,newWellDC, 0.5269 , 1.0000 , 0.9919 , 0.9510 , 0.8862 , 0.8191 , 0.7530 , 0.7019 , 0.6552 , 0.6140 , 0.5713 , 0.5370 , 0.5104 , 0.4843 , 0.4565 , 0.4345 , 0.4144 , 0.3920 , 0.3751 , 0.3652 , 0.3430 , 0.3295 , 0.3212 , 0.3099 ,
R48,newWellDC, 0.4366 , 1.0000 , 0.9514 , 0.8513 , 0.7476 , 0.6557 , 0.5770 , 0.5146 , 0.4554 , 0.4124 , 0.3755 , 0.3442 , 0.3196 , 0.2987 , 0.2788 , 0.2606 , 0.2456 , 0.2323 , 0.2190 , 0.2060 , 0.1963 , 0.1897 , 0.1813 , 0.1742 ,
Permian,legacyDC, 0.9650 , 0.8952 , 0.8362 , 0.7871 , 0.7457 , 0.7110 , 0.6809 , 0.6539 , 0.6292 , 0.6075 , 0.5877 , 0.5697 , 0.5526 , 0.5368 , 0.5225 , 0.5092 , 0.4959 , 0.4840 , 0.4726 , 0.4614 , 0.4508 , 0.4411 , 0.4313 , 0.4220 ,
EagleFord,legacyDC, 0.9606 , 0.8941 , 0.8388 , 0.7925 , 0.7526 , 0.7198 , 0.6919 , 0.6681 , 0.6464 , 0.6273 , 0.6097 , 0.5944 , 0.5800 , 0.5661 , 0.5532 , 0.5408 , 0.5284 , 0.5171 , 0.5072 , 0.4975 , 0.4890 , 0.4816 , 0.4741 , 0.4669 ,
Bakken,legacyDC, 0.9792 , 0.9368 , 0.8936 , 0.8512 , 0.8132 , 0.7792 , 0.7492 , 0.7218 , 0.6993 , 0.6777 , 0.6591 , 0.6420 , 0.6264 , 0.6158 , 0.6036 , 0.5915 , 0.5793 , 0.5691 , 0.5601 , 0.5516 , 0.5442 , 0.5397 , 0.5333 , 0.5263 ,
Haynesville,legacyDC, 0.9694 , 0.9203 , 0.8720 , 0.8262 , 0.7830 , 0.7425 , 0.7043 , 0.6688 , 0.6337 , 0.6055 , 0.5777 , 0.5512 , 0.5269 , 0.5045 , 0.4838 , 0.4652 , 0.4478 , 0.4318 , 0.4170 , 0.4032 , 0.3906 , 0.3788 , 0.3680 , 0.3577 ,
Appalachia,legacyDC, 0.9833 , 0.9513 , 0.9199 , 0.8895 , 0.8627 , 0.8365 , 0.8121 , 0.7901 , 0.7688 , 0.7495 , 0.7316 , 0.7142 , 0.6974 , 0.6818 , 0.6675 , 0.6542 , 0.6420 , 0.6301 , 0.6183 , 0.6072 , 0.5969 , 0.5873 , 0.5775 , 0.5681 ,
R48,legacyDC, 0.9837 , 0.9460 , 0.9098 , 0.8775 , 0.8484 , 0.8234 , 0.8011 , 0.7808 , 0.7626 , 0.7455 , 0.7306 , 0.7170 , 0.7039 , 0.6914 , 0.6801 , 0.6695 , 0.6586 , 0.6494 , 0.6407 , 0.6325 , 0.6248 , 0.6186 , 0.6117 , 0.6050 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
